date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01,36,25,0.0,8.7,8,50,11:50 PM,11:24 AM,06:09 AM,05:34 PM,18,31,31,29,29,3,54,0.0,1011,36,10,64,19,12.45%-87.0
2016-01-02,36,25,0.0,8.7,8,43,No moonrise,12:03 PM,06:09 AM,05:35 PM,18,31,31,29,27,7,54,0.0,1011,36,10,63,18,12.45%-87.0
2016-01-03,36,23,0.0,8.7,8,36,12:36 AM,12:42 PM,06:10 AM,05:35 PM,18,30,30,29,16,10,57,0.0,1011,36,10,74,10,12.45%-87.0
2016-01-04,32,21,0.0,5.7,6,28,01:23 AM,01:24 PM,06:10 AM,05:36 PM,18,28,28,26,19,44,63,0.1,1013,32,10,61,12,12.45%-87.0
2016-01-05,35,25,0.0,8.7,8,21,02:11 AM,02:07 PM,06:10 AM,05:36 PM,20,31,31,29,20,21,60,0.0,1012,35,10,80,13,12.45%-87.0
2016-01-06,34,25,0.0,8.7,8,14,03:01 AM,02:54 PM,06:11 AM,05:37 PM,19,30,30,29,23,17,57,0.0,1013,34,10,79,15,12.45%-87.0
2016-01-07,35,24,0.0,8.7,7,7,03:53 AM,03:44 PM,06:11 AM,05:37 PM,19,30,30,28,16,9,59,0.0,1012,35,10,106,11,12.45%-87.0
2016-01-08,35,25,0.0,8.7,8,0,04:45 AM,04:36 PM,06:11 AM,05:38 PM,20,31,31,28,13,6,65,0.0,1011,35,10,113,8,12.45%-87.0
2016-01-09,34,24,0.0,8.7,7,0,05:39 AM,05:32 PM,06:12 AM,05:39 PM,19,30,30,28,14,3,62,0.0,1011,34,10,146,9,12.45%-87.0
2016-01-10,35,24,0.0,8.7,8,0,06:32 AM,06:28 PM,06:12 AM,05:39 PM,20,31,31,29,11,37,64,0.0,1012,35,10,109,7,12.45%-87.0
2016-01-11,34,24,0.0,8.7,7,8,07:25 AM,07:26 PM,06:12 AM,05:40 PM,18,30,30,29,27,14,54,0.0,1013,34,10,88,18,12.45%-87.0
2016-01-12,36,24,0.0,8.7,8,15,08:15 AM,08:22 PM,06:12 AM,05:40 PM,17,30,30,29,22,8,52,0.0,1013,36,10,87,15,12.45%-87.0
2016-01-13,36,24,0.0,8.7,8,22,09:05 AM,09:19 PM,06:13 AM,05:41 PM,18,31,31,29,23,16,54,0.0,1013,36,10,83,16,12.45%-87.0
2016-01-14,35,24,0.0,8.7,8,29,09:53 AM,10:15 PM,06:13 AM,05:41 PM,19,30,30,29,20,8,57,0.0,1012,35,10,106,14,12.45%-87.0
2016-01-15,35,24,0.0,8.7,8,37,10:40 AM,11:11 PM,06:13 AM,05:42 PM,19,30,30,29,16,9,58,0.0,1011,35,10,121,10,12.45%-87.0
2016-01-16,35,24,0.0,8.7,8,44,11:29 AM,No moonset,06:13 AM,05:42 PM,19,30,30,28,15,5,58,0.0,1011,35,10,132,10,12.45%-87.0
2016-01-17,37,24,0.0,8.7,8,51,12:17 PM,12:07 AM,06:13 AM,05:43 PM,21,31,31,29,11,19,63,0.0,1011,37,10,89,7,12.45%-87.0
2016-01-18,35,25,0.0,8.7,8,59,01:08 PM,01:04 AM,06:13 AM,05:43 PM,18,31,31,29,27,26,54,0.0,1013,35,10,67,19,12.45%-87.0
2016-01-19,34,24,0.0,8.7,8,66,02:00 PM,02:01 AM,06:14 AM,05:44 PM,17,29,29,28,29,18,51,0.0,1014,34,10,59,20,12.45%-87.0
2016-01-20,36,24,0.0,8.7,8,73,02:54 PM,02:58 AM,06:14 AM,05:44 PM,16,30,30,29,26,10,49,0.0,1013,36,10,69,18,12.45%-87.0
