date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,35,22,0.0,8.7,7,20,08:42 AM,08:41 PM,06:09 AM,05:34 PM,18,29,29,28,19,8,56,0.0,1013,35,10,70,12,Posoltega
2017-01-02,35,22,0.0,8.7,7,27,09:28 AM,09:33 PM,06:10 AM,05:35 PM,18,30,30,28,22,2,56,0.0,1012,35,10,76,14,Posoltega
2017-01-03,35,22,0.0,8.7,7,34,10:12 AM,10:26 PM,06:10 AM,05:35 PM,18,29,29,28,18,5,58,0.0,1011,35,10,82,12,Posoltega
2017-01-04,35,23,0.0,8.7,6,41,10:57 AM,11:19 PM,06:10 AM,05:36 PM,19,30,30,28,16,25,60,0.8,1011,35,10,76,10,Posoltega
2017-01-05,35,22,0.0,8.7,7,49,11:43 AM,No moonset,06:11 AM,05:36 PM,16,28,28,28,16,8,53,0.0,1011,35,10,84,10,Posoltega
2017-01-06,34,22,0.0,8.7,7,56,12:29 PM,12:14 AM,06:11 AM,05:37 PM,17,28,28,27,14,2,61,0.0,1012,34,10,111,9,Posoltega
2017-01-07,36,21,0.0,8.7,8,63,01:19 PM,01:10 AM,06:11 AM,05:38 PM,18,29,29,28,8,6,59,0.0,1014,36,10,40,4,Posoltega
2017-01-08,36,23,0.0,8.7,8,70,02:11 PM,02:09 AM,06:12 AM,05:38 PM,16,29,29,28,24,5,51,0.0,1015,36,10,44,16,Posoltega
2017-01-09,33,23,0.0,8.7,7,78,03:08 PM,03:09 AM,06:12 AM,05:39 PM,15,28,28,27,31,11,49,0.0,1016,33,10,42,21,Posoltega
2017-01-10,34,21,0.0,8.7,7,85,04:07 PM,04:11 AM,06:12 AM,05:39 PM,14,28,28,27,25,8,48,0.0,1014,34,10,44,17,Posoltega
2017-01-11,34,22,0.0,8.7,7,92,05:08 PM,05:12 AM,06:12 AM,05:40 PM,16,28,28,27,22,15,52,0.0,1014,34,10,51,15,Posoltega
2017-01-12,34,22,0.0,8.7,7,100,06:08 PM,06:11 AM,06:13 AM,05:40 PM,16,28,28,27,24,9,53,0.0,1014,34,10,56,16,Posoltega
